,day_of_year,hour,month,day_sin,day_cos,time_sin,time_cos,ambient_temperature_c,ground_temperature_c,solar_radiation_wm2,mass_flow_rate_kgs,discharge_pressure_bar,discharge_temperature_c
2026-01-01 00:00:00,1,0.0,1,0.017201575418260506,0.9998520419557735,0.0,1.0,-12.05,6.05,0.0,555.36,82.86,39.61
2026-01-01 00:20:00,1,0.3333333333333333,1,0.017201575418260506,0.9998520419557735,0.08715574274765817,0.9961946980917455,-13.78,5.87,0.0,530.4,83.14,39.29
2026-01-01 00:40:00,1,0.6666666666666666,1,0.017201575418260506,0.9998520419557735,0.17364817766693033,0.984807753012208,-12.45,6.29,0.0,550.62,83.03,40.14
2026-01-01 01:00:00,1,1.0,1,0.017201575418260506,0.9998520419557735,0.25881904510252074,0.9659258262890683,-17.04,6.1,0.0,529.08,82.37,39.16
2026-01-01 01:20:00,1,1.3333333333333333,1,0.017201575418260506,0.9998520419557735,0.3420201433256687,0.9396926207859084,-13.91,5.84,0.0,513.42,81.74,38.75
2026-01-01 01:40:00,1,1.6666666666666665,1,0.017201575418260506,0.9998520419557735,0.4226182617406994,0.9063077870366499,-15.16,6.04,0.0,530.17,81.45,38.23
2026-01-01 02:00:00,1,2.0,1,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,-14.76,5.78,0.0,537.32,81.53,38.5
2026-01-01 02:20:00,1,2.3333333333333335,1,0.017201575418260506,0.9998520419557735,0.5735764363510462,0.8191520442889918,-18.95,6.06,0.0,519.12,81.29,38.37
2026-01-01 02:40:00,1,2.6666666666666665,1,0.017201575418260506,0.9998520419557735,0.6427876096865393,0.766044443118978,-14.52,5.72,0.0,510.26,81.14,38.3
2026-01-01 03:00:00,1,3.0,1,0.017201575418260506,0.9998520419557735,0.7071067811865476,0.7071067811865476,-17.88,5.94,0.0,512.33,81.22,37.79
2026-01-01 03:20:00,1,3.3333333333333335,1,0.017201575418260506,0.9998520419557735,0.766044443118978,0.6427876096865394,-16.55,5.96,0.0,505.99,80.79,37.38
2026-01-01 03:40:00,1,3.6666666666666665,1,0.017201575418260506,0.9998520419557735,0.8191520442889917,0.5735764363510462,-15.27,5.86,0.0,517.15,81.7,38.58
2026-01-01 04:00:00,1,4.0,1,0.017201575418260506,0.9998520419557735,0.8660254037844386,0.5000000000000001,-18.03,5.91,0.0,498.74,81.31,37.17
2026-01-01 04:20:00,1,4.333333333333333,1,0.017201575418260506,0.9998520419557735,0.9063077870366498,0.4226182617406996,-15.04,6.19,0.0,501.57,81.86,36.43
2026-01-01 04:40:00,1,4.666666666666667,1,0.017201575418260506,0.9998520419557735,0.9396926207859084,0.3420201433256686,-14.28,6.34,0.0,514.01,81.38,37.46
2026-01-01 05:00:00,1,5.0,1,0.017201575418260506,0.9998520419557735,0.9659258262890683,0.25881904510252074,-13.19,6.07,0.0,504.28,83.39,36.95
2026-01-01 05:20:00,1,5.333333333333333,1,0.017201575418260506,0.9998520419557735,0.984807753012208,0.17364817766693041,-12.76,6.28,0.0,521.62,82.49,37.44
2026-01-01 05:40:00,1,5.666666666666667,1,0.017201575418260506,0.9998520419557735,0.9961946980917455,0.08715574274765814,-14.4,6.09,26.2,518.49,83.29,37.49
2026-01-01 06:00:00,1,6.0,1,0.017201575418260506,0.9998520419557735,1.0,6.123233995736766e-17,-15.85,6.3,40.7,529.55,83.8,36.81
2026-01-01 06:20:00,1,6.333333333333333,1,0.017201575418260506,0.9998520419557735,0.9961946980917455,-0.08715574274765801,-13.35,6.25,71.2,532.19,83.75,37.5
2026-01-01 06:40:00,1,6.666666666666667,1,0.017201575418260506,0.9998520419557735,0.984807753012208,-0.1736481776669303,-12.65,6.24,180.9,534.22,84.19,37.19
2026-01-01 07:00:00,1,7.0,1,0.017201575418260506,0.9998520419557735,0.9659258262890683,-0.25881904510252063,-12.5,5.84,230.6,529.31,84.5,37.55
2026-01-01 07:20:00,1,7.333333333333333,1,0.017201575418260506,0.9998520419557735,0.9396926207859084,-0.3420201433256685,-8.49,6.12,278.8,538.12,85.21,38.03
2026-01-01 07:40:00,1,7.666666666666667,1,0.017201575418260506,0.9998520419557735,0.90630778703665,-0.42261826174069933,-6.99,5.77,325.2,553.46,85.47,37.83
2026-01-01 08:00:00,1,8.0,1,0.017201575418260506,0.9998520419557735,0.8660254037844387,-0.4999999999999998,-8.23,5.87,208.3,548.98,85.62,37.79
2026-01-01 08:20:00,1,8.333333333333334,1,0.017201575418260506,0.9998520419557735,0.8191520442889917,-0.5735764363510462,-7.31,6.12,137.5,561.29,86.41,37.4
2026-01-01 08:40:00,1,8.666666666666666,1,0.017201575418260506,0.9998520419557735,0.7660444431189783,-0.642787609686539,-5.49,6.3,168.1,544.0,86.53,38.06
2026-01-01 09:00:00,1,9.0,1,0.017201575418260506,0.9998520419557735,0.7071067811865476,-0.7071067811865475,-5.93,6.36,486.8,568.23,86.67,38.16
2026-01-01 09:20:00,1,9.333333333333334,1,0.017201575418260506,0.9998520419557735,0.6427876096865391,-0.7660444431189782,-3.03,5.82,519.9,567.9,86.16,37.86
2026-01-01 09:40:00,1,9.666666666666666,1,0.017201575418260506,0.9998520419557735,0.5735764363510464,-0.8191520442889916,-3.38,5.84,294.7,552.35,85.77,38.67
2026-01-01 10:00:00,1,10.0,1,0.017201575418260506,0.9998520419557735,0.49999999999999994,-0.8660254037844387,-4.79,5.51,575.8,565.67,85.67,38.47
2026-01-01 10:20:00,1,10.333333333333334,1,0.017201575418260506,0.9998520419557735,0.4226182617406995,-0.9063077870366499,-0.37,6.37,598.3,548.19,85.67,38.85
2026-01-01 10:40:00,1,10.666666666666666,1,0.017201575418260506,0.9998520419557735,0.3420201433256689,-0.9396926207859083,1.65,6.27,239.8,553.48,86.34,38.83
2026-01-01 11:00:00,1,11.0,1,0.017201575418260506,0.9998520419557735,0.258819045102521,-0.9659258262890682,-1.66,6.1,238.4,568.16,85.01,39.79
2026-01-01 11:20:00,1,11.333333333333334,1,0.017201575418260506,0.9998520419557735,0.17364817766693028,-0.984807753012208,1.74,5.86,372.6,553.76,85.07,39.6
2026-01-01 11:40:00,1,11.666666666666666,1,0.017201575418260506,0.9998520419557735,0.0871557427476582,-0.9961946980917455,6.51,6.28,376.7,547.33,83.88,39.29
2026-01-01 12:00:00,1,12.0,1,0.017201575418260506,0.9998520419557735,1.2246467991473532e-16,-1.0,1.72,6.08,650.3,545.92,82.92,39.46
2026-01-01 12:20:00,1,12.333333333333334,1,0.017201575418260506,0.9998520419557735,-0.08715574274765794,-0.9961946980917455,2.23,6.32,648.2,543.53,83.69,38.86
2026-01-01 12:40:00,1,12.666666666666666,1,0.017201575418260506,0.9998520419557735,-0.17364817766693003,-0.9848077530122081,7.05,6.16,641.9,545.17,83.59,39.47
2026-01-01 13:00:00,1,13.0,1,0.017201575418260506,0.9998520419557735,-0.2588190451025208,-0.9659258262890683,7.17,5.9,361.4,520.17,82.5,40.51
